"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.426787426E2,6.506140320E1,2.547032749E1,1.658756242E1,1.289999962E0,3.386000061E2,3.790092468E0,2.500000000E0
2.436783016E2,6.506141721E1,2.547031899E1,1.669308594E1,1.409999967E0,3.497000122E2,3.790092468E0,2.500000000E0
2.446788841E2,6.506143186E1,2.547031863E1,1.682931081E1,1.419999957E0,3.586000061E2,3.790092468E0,2.500000000E0
2.456785029E2,6.506144649E1,2.547032031E1,1.692616824E1,1.409999967E0,3.563999939E2,3.790092468E0,2.500000000E0
2.466779964E2,6.506146041E1,2.547032273E1,1.709407095E1,1.370000005E0,3.597999878E2,3.790092468E0,2.500000000E0
2.476779574E2,6.506147375E1,2.547032380E1,1.731446396E1,1.289999962E0,3.592999878E2,3.790092468E0,2.500000000E0
2.486788334E2,6.506148616E1,2.547032430E1,1.739502571E1,1.210000038E0,3.582000122E2,3.790092468E0,2.500000000E0
2.496786029E2,6.506149650E1,2.547032788E1,1.754870872E1,1.029999971E0,1.000000015E-1,3.790092468E0,2.500000000E0
2.506781126E2,6.506150839E1,2.547033144E1,1.771716164E1,1.220000029E0,8.000000119E-1,3.790092468E0,2.500000000E0
2.516779526E2,6.506152089E1,2.547033457E1,1.794738186E1,1.230000019E0,4.000000060E-1,3.790092468E0,2.500000000E0
2.526783219E2,6.506153388E1,2.547033990E1,1.813792929E1,1.289999962E0,5.300000191E0,3.790092468E0,2.500000000E0
2.536781750E2,6.506155021E1,2.547034512E1,1.877329966E1,1.679999948E0,1.600000024E0,3.790092468E0,2.500000000E0
2.546788627E2,6.506156703E1,2.547034780E1,1.938535413E1,1.649999976E0,3.593999939E2,3.790092468E0,2.500000000E0
2.556787482E2,6.506158375E1,2.547035303E1,1.976443773E1,1.720000029E0,4.699999809E0,3.790092468E0,2.500000000E0
2.566785657E2,6.506159992E1,2.547035687E1,2.029971035E1,1.659999967E0,3.099999905E0,3.790092468E0,2.500000000E0
2.576784479E2,6.506161355E1,2.547035774E1,2.009700753E1,1.379999995E0,3.575000000E2,3.790092468E0,2.500000000E0
2.586787472E2,6.506162499E1,2.547035861E1,2.007570201E1,1.259999990E0,3.557999878E2,3.790092468E0,2.500000000E0
